ID;C2011_2012;LIB_2012;C2012_NIV2;LIB2012_N2;C2012_NIV1;LIB2012_N1;SURFACE_M2;SURFACE_HA;PERIMETRE;SOURCE2012;FIAB_2012;Surface;Forbois;Ripi;Area;Align_haie;NUM_COMMUN;NOM_COMMUN;Niv1;Niv2;NivFinal;SourceID;Surface_2
30946;111;Habitat continu (centre ancien, centre ville);11;Habitat;1;Territoires artificialis?s;13190,7885;1,3191;783,35;BD ORTHO 2011;90;13192;0;0;124,456;0;119;Eckwersheim;1;13;134;6;61,825
30946;111;Habitat continu (centre ancien, centre ville);11;Habitat;1;Territoires artificialis?s;13190,7885;1,3191;783,35;BD ORTHO 2011;90;13192;0;0;124,456;0;119;Eckwersheim;1;13;134;6;7,527
30946;111;Habitat continu (centre ancien, centre ville);11;Habitat;1;Territoires artificialis?s;13190,7885;1,3191;783,35;BD ORTHO 2011;90;13192;0;0;124,456;0;119;Eckwersheim;1;13;134;6;190,287
30946;111;Habitat continu (centre ancien, centre ville);11;Habitat;1;Territoires artificialis?s;13190,7885;1,3191;783,35;BD ORTHO 2011;90;13192;0;0;124,456;0;119;Eckwersheim;1;13;134;6;48,158
30946;111;Habitat continu (centre ancien, centre ville);11;Habitat;1;Territoires artificialis?s;13190,7885;1,3191;783,35;BD ORTHO 2011;90;13192;0;0;124,456;0;119;Eckwersheim;1;13;134;6;2,178
30946;111;Habitat continu (centre ancien, centre ville);11;Habitat;1;Territoires artificialis?s;13190,7885;1,3191;783,35;BD ORTHO 2011;90;13192;0;0;124,456;0;119;Eckwersheim;1;13;134;6;44,668
30946;111;Habitat continu (centre ancien, centre ville);11;Habitat;1;Territoires artificialis?s;13190,7885;1,3191;783,35;BD ORTHO 2011;90;13192;0;0;124,456;0;119;Eckwersheim;1;13;134;6;90,749
30946;111;Habitat continu (centre ancien, centre ville);11;Habitat;1;Territoires artificialis?s;13190,7885;1,3191;783,35;BD ORTHO 2011;90;13192;0;0;124,456;0;119;Eckwersheim;1;13;134;6;243,476
30946;111;Habitat continu (centre ancien, centre ville);11;Habitat;1;Territoires artificialis?s;13190,7885;1,3191;783,35;BD ORTHO 2011;90;13192;0;0;124,456;0;119;Eckwersheim;1;13;134;6;3,187
30946;111;Habitat continu (centre ancien, centre ville);11;Habitat;1;Territoires artificialis?s;13190,7885;1,3191;783,35;BD ORTHO 2011;90;13192;0;0;124,456;0;119;Eckwersheim;1;13;134;6;163,221
30946;111;Habitat continu (centre ancien, centre ville);11;Habitat;1;Territoires artificialis?s;13190,7885;1,3191;783,35;BD ORTHO 2011;90;13192;0;0;124,456;0;119;Eckwersheim;1;13;134;6;2,602
30946;111;Habitat continu (centre ancien, centre ville);11;Habitat;1;Territoires artificialis?s;13190,7885;1,3191;783,35;BD ORTHO 2011;90;13192;0;0;124,456;0;119;Eckwersheim;1;13;134;6;2,213
30946;111;Habitat continu (centre ancien, centre ville);11;Habitat;1;Territoires artificialis?s;13190,7885;1,3191;783,35;BD ORTHO 2011;90;13192;0;0;124,456;0;119;Eckwersheim;1;13;134;6;3,387
30946;111;Habitat continu (centre ancien, centre ville);11;Habitat;1;Territoires artificialis?s;13190,7885;1,3191;783,35;BD ORTHO 2011;90;13192;0;0;124,456;0;119;Eckwersheim;1;13;134;6;4,726
30946;111;Habitat continu (centre ancien, centre ville);11;Habitat;1;Territoires artificialis?s;13190,7885;1,3191;783,35;BD ORTHO 2011;90;13192;0;0;124,456;0;119;Eckwersheim;1;13;134;6;1311,549
30946;111;Habitat continu (centre ancien, centre ville);11;Habitat;1;Territoires artificialis?s;13190,7885;1,3191;783,35;BD ORTHO 2011;90;13192;0;0;124,456;0;119;Eckwersheim;1;13;134;6;38,506
30946;111;Habitat continu (centre ancien, centre ville);11;Habitat;1;Territoires artificialis?s;13190,7885;1,3191;783,35;BD ORTHO 2011;90;13192;0;0;124,456;0;119;Eckwersheim;1;13;134;6;44,445
30946;111;Habitat continu (centre ancien, centre ville);11;Habitat;1;Territoires artificialis?s;13190,7885;1,3191;783,35;BD ORTHO 2011;90;13192;0;0;124,456;0;119;Eckwersheim;1;13;134;6;47,705
30946;111;Habitat continu (centre ancien, centre ville);11;Habitat;1;Territoires artificialis?s;13190,7885;1,3191;783,35;BD ORTHO 2011;90;13192;0;0;124,456;0;119;Eckwersheim;1;13;134;6;204,077
30920;111;Habitat continu (centre ancien, centre ville);11;Habitat;1;Territoires artificialis?s;13205,9992;1,3206;741,9;BD ORTHO 2011;90;13207;0;0;124,456;0;119;Eckwersheim;1;13;134;6;72,251
30920;111;Habitat continu (centre ancien, centre ville);11;Habitat;1;Territoires artificialis?s;13205,9992;1,3206;741,9;BD ORTHO 2011;90;13207;0;0;124,456;0;119;Eckwersheim;1;13;134;6;3,378
30920;111;Habitat continu (centre ancien, centre ville);11;Habitat;1;Territoires artificialis?s;13205,9992;1,3206;741,9;BD ORTHO 2011;90;13207;0;0;124,456;0;119;Eckwersheim;1;13;134;6;184,122
30920;111;Habitat continu (centre ancien, centre ville);11;Habitat;1;Territoires artificialis?s;13205,9992;1,3206;741,9;BD ORTHO 2011;90;13207;0;0;124,456;0;119;Eckwersheim;1;13;134;6;281,15
30920;111;Habitat continu (centre ancien, centre ville);11;Habitat;1;Territoires artificialis?s;13205,9992;1,3206;741,9;BD ORTHO 2011;90;13207;0;0;124,456;0;119;Eckwersheim;1;13;134;6;185,48
30920;111;Habitat continu (centre ancien, centre ville);11;Habitat;1;Territoires artificialis?s;13205,9992;1,3206;741,9;BD ORTHO 2011;90;13207;0;0;124,456;0;119;Eckwersheim;1;13;134;6;7,015
30920;111;Habitat continu (centre ancien, centre ville);11;Habitat;1;Territoires artificialis?s;13205,9992;1,3206;741,9;BD ORTHO 2011;90;13207;0;0;124,456;0;119;Eckwersheim;1;13;134;6;57,243
30920;111;Habitat continu (centre ancien, centre ville);11;Habitat;1;Territoires artificialis?s;13205,9992;1,3206;741,9;BD ORTHO 2011;90;13207;0;0;124,456;0;119;Eckwersheim;1;13;134;6;219,905
30920;111;Habitat continu (centre ancien, centre ville);11;Habitat;1;Territoires artificialis?s;13205,9992;1,3206;741,9;BD ORTHO 2011;90;13207;0;0;124,456;0;119;Eckwersheim;1;13;134;6;93,832
30920;111;Habitat continu (centre ancien, centre ville);11;Habitat;1;Territoires artificialis?s;13205,9992;1,3206;741,9;BD ORTHO 2011;90;13207;0;0;124,456;0;119;Eckwersheim;1;13;134;6;514,974
30920;111;Habitat continu (centre ancien, centre ville);11;Habitat;1;Territoires artificialis?s;13205,9992;1,3206;741,9;BD ORTHO 2011;90;13207;0;0;124,456;0;119;Eckwersheim;1;13;134;6;489,349
30920;111;Habitat continu (centre ancien, centre ville);11;Habitat;1;Territoires artificialis?s;13205,9992;1,3206;741,9;BD ORTHO 2011;90;13207;0;0;124,456;0;119;Eckwersheim;1;13;134;6;421,918
30920;111;Habitat continu (centre ancien, centre ville);11;Habitat;1;Territoires artificialis?s;13205,9992;1,3206;741,9;BD ORTHO 2011;90;13207;0;0;124,456;0;119;Eckwersheim;1;13;134;6;33,884
30920;111;Habitat continu (centre ancien, centre ville);11;Habitat;1;Territoires artificialis?s;13205,9992;1,3206;741,9;BD ORTHO 2011;90;13207;0;0;124,456;0;119;Eckwersheim;1;13;134;6;3,405
