ID;C2011_2012.C.8;Surface;SurfaceVeg
35151;122;8302;10.624
35151;122;8302;33.085
35151;122;8302;110.362
35151;122;8302;17.671
35151;122;8302;18.143
35151;122;8302;5.49
35151;122;8302;9.552
35151;122;8302;31.565
35151;122;8302;15.328
35151;122;8302;194.757
35151;122;8302;291.455
35151;122;8302;151.09
35151;122;8302;9.581
35151;122;8302;0.741
35151;122;8302;39.847
35151;122;8302;115.938
35151;122;8302;47.916
35151;122;8302;30.719
35151;122;8302;6.299
35151;122;8302;100.592
35151;122;8302;224.837
35151;122;8302;41.302
35151;122;8302;13.958
35151;122;8302;88.377
35151;122;8302;0.758
35151;122;8302;208.7
35151;122;8302;10.964
35151;122;8302;163.86
35151;122;8302;40.63
35151;122;8302;7.245
35151;122;8302;792.692
35151;122;8302;681.901
35151;122;8302;1511.912
35151;122;8302;69.314
35151;122;8302;0.108
35151;122;8302;16.387
35151;122;8302;5.857
35151;122;8302;143.68
35151;122;8302;67.477
35090;124;8209;1.885
35090;124;8209;0.881
35090;124;8209;5.474
35090;124;8209;0.06
35090;124;8209;10.116
35090;124;8209;5.014
35090;124;8209;6.919
35090;124;8209;2.998
35090;124;8209;4.428
35090;124;8209;186.825
35090;124;8209;14.272
35090;124;8209;314.139
35090;124;8209;15.657
35090;124;8209;7.001
35090;124;8209;30.871
35090;124;8209;207.496
35090;124;8209;14.386
35090;124;8209;12.29
35090;124;8209;9.61
35090;124;8209;32.11
35090;124;8209;83.701
35090;124;8209;11.683
35090;124;8209;6.198
35090;124;8209;99.399
35090;124;8209;255.75
35090;124;8209;358.04
35090;124;8209;209.068
35090;124;8209;259.26
35090;124;8209;9.837
35090;124;8209;7.702
35090;124;8209;73.221
35090;124;8209;13.767
35090;124;8209;7.118
35090;124;8209;176.733
35090;124;8209;550.868
35090;124;8209;453.987
35090;124;8209;38.337
35020;125;7722;25.231
35020;125;7722;1.614
35020;125;7722;23.332
35020;125;7722;3.367
35020;125;7722;18.138
35020;125;7722;32.047
35020;125;7722;16.94
35020;125;7722;0.259
35020;125;7722;5.581
35020;125;7722;20.113
35020;125;7722;27.434
35020;125;7722;35.562
35020;125;7722;68.701
35020;125;7722;3.696
35020;125;7722;13.986
35020;125;7722;16.807
35020;125;7722;119.473
35020;125;7722;19.917
35020;125;7722;61.515
35020;125;7722;19.105
35020;125;7722;56.12
35020;125;7722;52.522
35020;125;7722;58.035
35020;125;7722;64.578
35020;125;7722;3.574
35020;125;7722;21.852
35020;125;7722;5.3
35020;125;7722;4.29
35020;125;7722;36.038
35020;125;7722;91.687
35020;125;7722;5.322
35020;125;7722;8.164
35020;125;7722;241.641
35020;125;7722;7.596
35020;125;7722;120.976
34838;124;13481;44.998
34838;124;13481;55.542
34838;124;13481;4.676
34838;124;13481;13.018
34838;124;13481;30.649
34838;124;13481;14.757
34838;124;13481;8.277
34838;124;13481;11.426
34838;124;13481;21.727
34838;124;13481;13.29
34838;124;13481;5.799
34838;124;13481;71.314
34838;124;13481;110.523
34838;124;13481;181.818
34838;124;13481;15.265
34838;124;13481;17.944
34838;124;13481;11.01
34838;124;13481;10.797
34838;124;13481;584.606
34838;124;13481;5.61
34838;124;13481;32.976
34838;124;13481;8.72
34838;124;13481;41.49
34838;124;13481;233.146
34838;124;13481;160.289
34838;124;13481;67.604
34838;124;13481;2109.231
34838;124;13481;3318.808
34838;124;13481;0.423
34838;124;13481;151.921
34838;124;13481;51.399
34838;124;13481;52.938
34838;124;13481;69.064
34838;124;13481;4.406
34838;124;13481;190.475
34838;124;13481;3.465
34838;124;13481;24.367
34838;124;13481;22.629
34838;124;13481;1.723
34838;124;13481;84.012
34838;124;13481;269.349
34838;124;13481;796.453
34838;124;13481;321.676
34685;125;6482;0.356
34685;125;6482;14.342
34685;125;6482;5.736
34685;125;6482;25.17
34685;125;6482;14.249
34685;125;6482;7.535
34685;125;6482;4.269
34685;125;6482;6.605
34685;125;6482;12.67
34685;125;6482;11.217
34685;125;6482;134.449
34685;125;6482;30.297
34685;125;6482;0.059
34685;125;6482;100.05
34685;125;6482;47.384
34685;125;6482;29.604
34685;125;6482;0.666
34685;125;6482;742.492
34685;125;6482;288.275
34685;125;6482;0.026
34685;125;6482;4.439
34685;125;6482;175.89
34685;125;6482;72.046
34685;125;6482;343.032
34685;125;6482;129.887
34685;125;6482;1.223
34685;125;6482;125.58
34685;125;6482;60.41
34685;125;6482;100.075
34685;125;6482;21.999
34685;125;6482;273.757
34685;125;6482;140.15
34685;125;6482;244.001
34685;125;6482;207.241
33683;122;25505;8.751
33683;122;25505;21.551
33683;122;25505;1.138
33683;122;25505;15.713
33683;122;25505;17.914
33683;122;25505;25.011
33683;122;25505;92.349
33683;122;25505;25.847
33683;122;25505;7.096
33683;122;25505;16.373
33683;122;25505;18.817
33683;122;25505;52.106
33683;122;25505;14.523
33683;122;25505;5.591
33683;122;25505;27.225
33683;122;25505;395.988
33683;122;25505;90.557
33683;122;25505;28.324
33683;122;25505;92.447
33683;122;25505;635.196
33683;122;25505;306.687
33683;122;25505;2.7
33683;122;25505;747.924
33683;122;25505;0.208
33683;122;25505;669.637
33683;122;25505;2.026
33683;122;25505;32.96
33683;122;25505;3.457
33683;122;25505;357.876
33683;122;25505;886.183
33683;122;25505;39.672
33683;122;25505;90.94
33683;122;25505;2.236
33683;122;25505;0.047
33683;122;25505;3.009
33683;122;25505;13.761
33683;122;25505;10.668
33683;122;25505;28.486
33683;122;25505;3.675
33683;122;25505;126.115
33683;122;25505;9.992
33683;122;25505;28.933
33683;122;25505;7.389
33683;122;25505;47.604
33683;122;25505;6.344
33683;122;25505;249.186
33683;122;25505;6.431
33683;122;25505;5.855
33683;122;25505;10.196
33683;122;25505;15.787
33683;122;25505;9.26
33683;122;25505;223.197
33683;122;25505;2586.858
33683;122;25505;134.142
33683;122;25505;149.724
33683;122;25505;811.118
33683;122;25505;15.066
33683;122;25505;1114.488
33683;122;25505;198.157
33683;122;25505;92.628
33683;122;25505;32.218
33683;122;25505;24.665
33683;122;25505;284.757
33683;122;25505;255.718
33683;122;25505;136.772
33683;122;25505;246.286
33683;122;25505;22.231
33683;122;25505;13.163
33683;122;25505;314.382
33683;122;25505;14.108
33683;122;25505;4.61
33683;122;25505;5.212
33683;122;25505;34.702
33683;122;25505;85.575
33683;122;25505;6.679
33683;122;25505;126.9
33683;122;25505;174.581
33683;122;25505;7.716
33683;122;25505;49.618
33683;122;25505;407.305
33683;122;25505;28.668
33683;122;25505;14.709
33683;122;25505;58.377
33683;122;25505;124.647
33683;122;25505;12.72
33683;122;25505;28.954
33683;122;25505;8.539
33683;122;25505;34.257
33683;122;25505;45.293
33683;122;25505;13.328
33683;122;25505;6.052
