fid;ID;C2011_2012;LIB_2012.;C2012_NIV2;LIB2012_N2;C2012_NIV1;LIB2012_N1;SURFACE_M2;SURFACE_HA;PERIMETRE;SOURCE2012;FIAB_2012;Surface;Forbois;Ripi;Area;Align_haie;NUM_COMMUN;NOM_COMMUN;Niv1;Niv2;NivFinal;SourceID;SurfaceVeg
149;31794;152;Autres espaces libres;15;Espaces libres;1;Territoires artificialis?s;13357.4856;1.3357;500.52;BD ORTHO 2011;75;13359;0;0;15.0918;0;482;Strasbourg;1;12;124;4;12.344
149;31794;152;Autres espaces libres;15;Espaces libres;1;Territoires artificialis?s;13357.4856;1.3357;500.52;BD ORTHO 2011;75;13359;0;0;34.6445;0;482;Strasbourg;1;12;124;4;3.928
149;31794;152;Autres espaces libres;15;Espaces libres;1;Territoires artificialis?s;13357.4856;1.3357;500.52;BD ORTHO 2011;75;13359;0;0;34.6445;0;482;Strasbourg;1;12;124;4;18.207
149;31794;152;Autres espaces libres;15;Espaces libres;1;Territoires artificialis?s;13357.4856;1.3357;500.52;BD ORTHO 2011;75;13359;0;0;34.6445;0;482;Strasbourg;1;12;124;4;5.488
149;31794;152;Autres espaces libres;15;Espaces libres;1;Territoires artificialis?s;13357.4856;1.3357;500.52;BD ORTHO 2011;75;13359;0;0;34.6445;0;482;Strasbourg;1;12;124;4;5.927
149;31794;152;Autres espaces libres;15;Espaces libres;1;Territoires artificialis?s;13357.4856;1.3357;500.52;BD ORTHO 2011;75;13359;0;0;15;0;482;Strasbourg;1;12;124;4;15.473
149;31794;152;Autres espaces libres;15;Espaces libres;1;Territoires artificialis?s;13357.4856;1.3357;500.52;BD ORTHO 2011;75;13359;0;0;22.1729;0;482;Strasbourg;1;13;134;6;21.599
149;31794;152;Autres espaces libres;15;Espaces libres;1;Territoires artificialis?s;13357.4856;1.3357;500.52;BD ORTHO 2011;75;13359;0;0;9;0;482;Strasbourg;1;12;124;4;8.247
149;31794;152;Autres espaces libres;15;Espaces libres;1;Territoires artificialis?s;13357.4856;1.3357;500.52;BD ORTHO 2011;75;13359;0;0;30.2857;0;482;Strasbourg;1;13;134;6;28.331
149;31794;152;Autres espaces libres;15;Espaces libres;1;Territoires artificialis?s;13357.4856;1.3357;500.52;BD ORTHO 2011;75;13359;0;0;60.6326;0;482;Strasbourg;1;13;134;6;58.698
149;31794;152;Autres espaces libres;15;Espaces libres;1;Territoires artificialis?s;13357.4856;1.3357;500.52;BD ORTHO 2011;75;13359;0;0;11;0;482;Strasbourg;1;12;124;4;6.806
149;31794;152;Autres espaces libres;15;Espaces libres;1;Territoires artificialis?s;13357.4856;1.3357;500.52;BD ORTHO 2011;75;13359;0;0;19;0;482;Strasbourg;1;12;124;4;19.546
149;31794;152;Autres espaces libres;15;Espaces libres;1;Territoires artificialis?s;13357.4856;1.3357;500.52;BD ORTHO 2011;75;13359;0;0;3.75692;0;482;Strasbourg;1;13;134;6;2.712
149;31794;152;Autres espaces libres;15;Espaces libres;1;Territoires artificialis?s;13357.4856;1.3357;500.52;BD ORTHO 2011;75;13359;0;0;1082.75;0;482;Strasbourg;1;13;134;6;512.307
149;31794;152;Autres espaces libres;15;Espaces libres;1;Territoires artificialis?s;13357.4856;1.3357;500.52;BD ORTHO 2011;75;13359;0;0;1082.75;0;482;Strasbourg;1;13;134;6;169.093
149;31794;152;Autres espaces libres;15;Espaces libres;1;Territoires artificialis?s;13357.4856;1.3357;500.52;BD ORTHO 2011;75;13359;0;0;1082.75;0;482;Strasbourg;1;13;134;6;397.437
149;31794;152;Autres espaces libres;15;Espaces libres;1;Territoires artificialis?s;13357.4856;1.3357;500.52;BD ORTHO 2011;75;13359;0;0;98.3643;0;482;Strasbourg;1;13;134;6;98.85
149;31794;152;Autres espaces libres;15;Espaces libres;1;Territoires artificialis?s;13357.4856;1.3357;500.52;BD ORTHO 2011;75;13359;0;0;213.059;0;482;Strasbourg;1;13;134;6;216.062
149;31794;152;Autres espaces libres;15;Espaces libres;1;Territoires artificialis?s;13357.4856;1.3357;500.52;BD ORTHO 2011;75;13359;0;0;1151.48;0;482;Strasbourg;1;13;132;6;1159.864
149;31794;152;Autres espaces libres;15;Espaces libres;1;Territoires artificialis?s;13357.4856;1.3357;500.52;BD ORTHO 2011;75;13359;0;0;1037.97;1;482;Strasbourg;1;12;122;4;0.051
149;31794;152;Autres espaces libres;15;Espaces libres;1;Territoires artificialis?s;13357.4856;1.3357;500.52;BD ORTHO 2011;75;13359;0;0;33.1992;0;482;Strasbourg;1;13;132;6;33.221
149;31794;152;Autres espaces libres;15;Espaces libres;1;Territoires artificialis?s;13357.4856;1.3357;500.52;BD ORTHO 2011;75;13359;0;0;51.3726;0;482;Strasbourg;1;13;134;6;38.646
149;31794;152;Autres espaces libres;15;Espaces libres;1;Territoires artificialis?s;13357.4856;1.3357;500.52;BD ORTHO 2011;75;13359;0;0;71.2062;0;482;Strasbourg;1;13;134;6;73.294
