ID;C2011_2012;Surface;SurfaceVeg
31969;152;7323;3.152
31969;152;7323;123.071
31969;152;7323;75.536
31969;152;7323;4.483
31969;152;7323;9.182
31969;152;7323;104.830
31969;152;7323;119.347
31969;152;7323;11.562
31969;152;7323;49.189
31969;152;7323;8.828
31969;152;7323;0.067
31969;152;7323;10.454
31969;152;7323;88.931
31969;152;7323;0.284
31969;152;7323;1485.864
31969;152;7323;20.514
31969;152;7323;0.713
31969;152;7323;2232.091
31969;152;7323;31.272
31969;152;7323;1105.208
31969;152;7323;138.470
31969;152;7323;1067.565
31969;152;7323;0.403
31969;152;7323;67.646
31794;152;13359;10.836
31794;152;13359;26.987
31794;152;13359;6.376
31794;152;13359;28.821
31794;152;13359;6.682
31794;152;13359;36.814
31794;152;13359;12.344
31794;152;13359;3.928
31794;152;13359;18.207
31794;152;13359;5.488
31794;152;13359;5.927
31794;152;13359;15.473
31794;152;13359;21.599
31794;152;13359;8.247
31794;152;13359;28.331
31794;152;13359;58.698
31794;152;13359;6.806
31794;152;13359;19.546
31794;152;13359;2.712
31794;152;13359;512.307
31794;152;13359;169.093
31794;152;13359;397.437
31794;152;13359;98.850
31794;152;13359;216.062
31794;152;13359;1159.864
31794;152;13359;0.051
31794;152;13359;33.221
31794;152;13359;38.646
31794;152;13359;73.294
31794;152;13359;6.256
31794;152;13359;17.964
31794;152;13359;32.665
31794;152;13359;77.757
31794;152;13359;42.078
31794;152;13359;2.960
31794;152;13359;955.670
31794;152;13359;21.245
31794;152;13359;111.216
31794;152;13359;95.665
31794;152;13359;4.635
31794;152;13359;6.293
31794;152;13359;18.108
31779;152;7552;0.342
31779;152;7552;9.527
31779;152;7552;8.584
31779;152;7552;4.049
31779;152;7552;0.803
31779;152;7552;1.212
31779;152;7552;27.256
31779;152;7552;877.883
31779;152;7552;32.593
31779;152;7552;4185.318
31779;152;7552;1124.939
31779;152;7552;10.635
31779;152;7552;2.958
31779;152;7552;2.559
31779;152;7552;82.702
31779;152;7552;117.565
31779;152;7552;179.505
31779;152;7552;9.114
31743;152;7063;45.115
31743;152;7063;52.337
31743;152;7063;654.798
31743;152;7063;38.320
31743;152;7063;42.764
31743;152;7063;99.404
31743;152;7063;481.596
31743;152;7063;193.094
31743;152;7063;253.117
31743;152;7063;12.572
31743;152;7063;0.274
31743;152;7063;391.647
31743;152;7063;337.166
31743;152;7063;186.904
31743;152;7063;213.696
31683;152;17869;11.547
31683;152;17869;9.501
31683;152;17869;11.608
31683;152;17869;7.189
31683;152;17869;14.086
31683;152;17869;47.112
31683;152;17869;12.099
31683;152;17869;18.678
31683;152;17869;15.333
31683;152;17869;329.628
31683;152;17869;12.915
31683;152;17869;5.192
31683;152;17869;5.608
31683;152;17869;0.783
31683;152;17869;26.643
31683;152;17869;6.626
31683;152;17869;15.256
31683;152;17869;99.004
31683;152;17869;4.842
31683;152;17869;121.357
31683;152;17869;27.887
31683;152;17869;8.938
31683;152;17869;269.665
31683;152;17869;41.702
31683;152;17869;24.397
31683;152;17869;5.827
31683;152;17869;0.011
31683;152;17869;0.046
31683;152;17869;28.270
31683;152;17869;8.910
31683;152;17869;378.755
31683;152;17869;12.067
31683;152;17869;9.495
31683;152;17869;6.081
31683;152;17869;137.285
31683;152;17869;10.468
31683;152;17869;17.982
31683;152;17869;1.512
31683;152;17869;8.555
31683;152;17869;10.934
31683;152;17869;3.820
31683;152;17869;13.447
31683;152;17869;10.089
31683;152;17869;6.021
31683;152;17869;446.938
31683;152;17869;0.289
31683;152;17869;5.042
31683;152;17869;9.378
31683;152;17869;13.555
31683;152;17869;20.357
31683;152;17869;13.508
31683;152;17869;12.989
31683;152;17869;6.891
31683;152;17869;22.461
31683;152;17869;12.382
31683;152;17869;7.454
31683;152;17869;191.088
31683;152;17869;11.697
31683;152;17869;6.294
31683;152;17869;17.551
31683;152;17869;15.290
31683;152;17869;13.291
31683;152;17869;6.630
31683;152;17869;19.940
31683;152;17869;8.433
31683;152;17869;8.122
31683;152;17869;9.460
31683;152;17869;1.915
31683;152;17869;6.412
